,Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
291,2018-10-23,1246.55,1300.0,1224.0,1244.85,1243.76,9275.0,1026.0,11535856.0,3145.0,33.91,76.0,-1.7,BOM500002
292,2018-10-22,1272.3,1282.5,1242.0,1248.3,1266.93,10994.0,507.0,13928630.0,1471.0,13.38,40.5,-24.0,BOM500002
293,2018-10-19,1280.0,1297.25,1268.0,1273.3,1281.02,6148.0,621.0,7875737.0,1818.0,29.57,29.25,-6.7,BOM500002
294,2018-10-17,1310.25,1310.25,1277.05,1284.0,1293.86,8088.0,582.0,10464736.0,3367.0,41.63,33.2,-26.25,BOM500002
295,2018-10-16,1292.0,1309.5,1285.3,1300.05,1299.05,5832.0,467.0,7576077.0,2095.0,35.92,24.2,8.05,BOM500002
296,2018-10-15,1340.0,1340.0,1287.0,1290.9,1295.22,5850.0,576.0,7577009.0,2199.0,37.59,53.0,-49.1,BOM500002
297,2018-10-12,1298.95,1331.8,1298.95,1308.0,1315.25,8016.0,697.0,10543064.0,1787.0,22.29,32.85,9.05,BOM500002
298,2018-10-11,1330.0,1330.0,1280.0,1291.35,1304.43,13274.0,948.0,17314996.0,5036.0,37.94,50.0,-38.65,BOM500002
299,2018-10-10,1364.55,1371.65,1338.05,1343.85,1357.21,7955.0,617.0,10796607.0,2728.0,34.29,33.6,-20.7,BOM500002
300,2018-10-09,1387.7,1389.05,1343.75,1352.65,1363.5,6223.0,616.0,8485084.0,1743.0,28.01,45.3,-35.05,BOM500002
301,2018-10-08,1370.0,1399.0,1337.45,1377.2,1369.53,10940.0,1040.0,14982644.0,2355.0,21.53,61.55,7.2,BOM500002
302,2018-10-05,1390.0,1391.6,1315.3,1368.0,1356.15,16705.0,1244.0,22654442.0,3428.0,20.52,76.3,-22.0,BOM500002
303,2018-10-04,1404.0,1420.0,1380.0,1388.75,1396.04,7330.0,616.0,10233007.0,2977.0,40.61,40.0,-15.25,BOM500002
304,2018-10-03,1420.0,1463.0,1403.0,1420.3,1433.39,12511.0,1112.0,17933139.0,1852.0,14.8,60.0,0.3,BOM500002
305,2018-10-01,1410.75,1440.0,1372.4,1418.55,1399.81,10272.0,1119.0,14378879.0,1416.0,13.79,67.6,7.8,BOM500002
306,2018-09-28,1420.0,1427.85,1358.0,1402.55,1398.44,8975.0,927.0,12551015.0,1251.0,13.94,69.85,-17.45,BOM500002
307,2018-09-27,1442.1,1450.65,1389.6,1419.9,1415.26,21040.0,1268.0,29777070.0,2200.0,10.46,61.05,-22.2,BOM500002
308,2018-09-26,1438.0,1469.05,1425.0,1439.6,1450.68,13422.0,968.0,19470992.0,4449.0,33.15,44.05,1.6,BOM500002
309,2018-09-25,1401.0,1452.0,1346.6,1424.6,1384.23,27198.0,1666.0,37648190.0,2641.0,9.71,105.4,23.6,BOM500002
310,2018-09-24,1443.9,1443.9,1351.0,1386.7,1392.02,12722.0,1101.0,17709265.0,2015.0,15.84,92.9,-57.2,BOM500002
311,2018-09-21,1440.0,1459.0,1332.0,1433.95,1410.77,15451.0,1460.0,21797772.0,2506.0,16.22,127.0,-6.05,BOM500002
312,2018-09-19,1459.0,1471.0,1371.45,1436.5,1432.87,21419.0,1755.0,30690663.0,2683.0,12.53,99.55,-22.5,BOM500002
313,2018-09-18,1445.35,1460.0,1431.05,1441.3,1441.83,8734.0,774.0,12592956.0,2631.0,30.12,28.95,-4.05,BOM500002
314,2018-09-17,1448.0,1451.6,1426.4,1444.65,1439.89,12906.0,1377.0,18583176.0,3083.0,23.89,25.2,-3.35,BOM500002
315,2018-09-14,1481.9,1516.55,1417.0,1446.95,1477.6,37471.0,3287.0,55367287.0,4585.0,12.24,99.55,-34.95,BOM500002
316,2018-09-12,1384.0,1476.65,1380.0,1462.35,1437.89,91691.0,5040.0,131841908.0,29583.0,32.26,96.65,78.35,BOM500002
317,2018-09-11,1387.0,1397.0,1357.35,1384.85,1381.12,15581.0,1276.0,21519257.0,5546.0,35.59,39.65,-2.15,BOM500002
318,2018-09-10,1356.0,1396.85,1329.8,1373.35,1371.13,30704.0,1756.0,42099051.0,5853.0,19.06,67.05,17.35,BOM500002
