Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O,stockname
2017-02-14,1394.25,1403.6,1388.55,1398.2,1394.52,39494.0,1174.0,55075280.0,18852.0,47.73,15.05,3.95,BOM500010
2017-02-13,1390.2,1397.0,1373.5,1394.2,1384.38,32726.0,1663.0,45305201.0,7369.0,22.52,23.5,4.0,BOM500010
2017-02-10,1409.5,1409.5,1383.35,1388.4,1391.42,39534.0,2641.0,55008407.0,11614.0,29.38,26.15,-21.1,BOM500010
2017-02-09,1402.0,1421.5,1388.25,1399.55,1394.83,357072.0,2780.0,498055043.0,312365.0,87.48,33.25,-2.45,BOM500010
2017-02-08,1409.0,1410.7,1384.5,1399.55,1399.33,102675.0,3158.0,143676212.0,52784.0,51.41,26.2,-9.45,BOM500010
2017-02-07,1399.55,1410.0,1389.0,1405.75,1401.67,25707.0,1229.0,36032828.0,6785.0,26.39,21.0,6.2,BOM500010
2017-02-06,1407.0,1412.0,1389.0,1399.55,1399.88,109020.0,2263.0,152614798.0,65753.0,60.31,23.0,-7.45,BOM500010
2017-02-03,1401.0,1408.0,1386.35,1395.95,1395.78,167897.0,2911.0,234347474.0,112679.0,67.11,21.65,-5.05,BOM500010
2017-02-02,1411.95,1411.95,1386.6,1402.7,1401.39,347505.0,2025.0,486989254.0,298427.0,85.88,25.35,-9.25,BOM500010
2017-02-01,1364.95,1420.8,1364.95,1414.95,1396.24,162061.0,5286.0,226276407.0,72789.0,44.91,55.85,50.0,BOM500010
2017-01-31,1376.0,1387.4,1353.0,1366.35,1370.11,58364.0,2264.0,79965044.0,15733.0,26.96,34.4,-9.65,BOM500010
2017-01-30,1370.5,1378.0,1360.5,1368.9,1370.03,101684.0,4224.0,139310152.0,26430.0,25.99,17.5,-1.6,BOM500010
2017-01-27,1334.0,1375.0,1331.9,1370.7,1363.92,109667.0,4179.0,149577427.0,37353.0,34.06,43.1,36.7,BOM500010
2017-01-25,1280.85,1340.5,1280.85,1336.0,1314.57,110145.0,3931.0,144793800.0,51457.0,46.72,59.65,55.15,BOM500010
2017-01-24,1260.35,1282.0,1260.35,1280.85,1276.13,62448.0,2791.0,79691700.0,31739.0,50.82,21.65,20.5,BOM500010
2017-01-23,1237.8,1260.0,1236.8,1258.75,1251.42,36209.0,1453.0,45312720.0,16723.0,46.18,23.2,20.95,BOM500010
2017-01-20,1242.05,1244.4,1231.0,1236.8,1236.53,57889.0,1679.0,71581303.0,25885.0,44.71,13.4,-5.25,BOM500010
2017-01-19,1245.0,1248.4,1233.75,1241.35,1241.94,29712.0,1585.0,36900645.0,9419.0,31.7,14.65,-3.65,BOM500010
2017-01-18,1250.6,1260.45,1243.6,1247.3,1252.68,306197.0,2524.0,383565846.0,276991.0,90.46,16.85,-3.3,BOM500010
2017-01-17,1265.0,1265.0,1235.5,1243.05,1243.56,41316.0,2443.0,51378766.0,17493.0,42.34,29.5,-21.95,BOM500010
2017-01-16,1245.0,1262.75,1243.0,1255.85,1256.77,83040.0,3875.0,104361823.0,37079.0,44.65,19.75,10.85,BOM500010
